UID,title,day,start_date,start_time,category,description,organiser,web_link,slack_channel,channel_url
53,Posters 6A,3,2020-10-14,17:35,Poster session,"Browse the active poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",ISMIR 2020 committee,,#poster-6-,
54,Masterclass: Code Review A,3,2020-10-14,19:00,Masterclass,"Observe a masterclass on good coding practices from an industry standpoint - experienced developers will live-review volunteer submitted repositories, along with a live Q&A.",Industry Chairs,,? #industry-masterclasses,
55,Meetups Misc,3,2020-10-14,19:00,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
56,Meetups Misc,3,2020-10-15,0:30,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
57,WiMIR meetup 7: Estefanía Cano,3,2020-10-15,0:30,WiMIR Meetup,"Each WiMIR Meet-up Session will be an informal Q&A-type drop-in event akin to an “office hour”. In these sessions, participants will have the opportunity to talk with a notable woman in the field.",WiMIR,https://ismir.github.io/ISMIR2020/WiMIR/,#wimir-at-ismir,https://ismir2020.slack.com/archives/C01BLUK6YBE
58,Posters 5B,3,2020-10-15,1:35,Poster session,"Browse the active poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",ISMIR 2020 committee,,#poster-5-,
59,Special Session 6: Music and learning,3,2020-10-15,3:00,Meetup-Special,"Many people listen to music when they are learning or working. How to retrieve, recommend or generate music that could be beneficial for learning? This is an open question and calls for interdisciplinary methods and approaches. Let's find out what the most recent progress are and how we can approach this problem from perspectives spanning MIR, information science, psychology, education, cognitive science, and computing science. Come discuss with session chair Xiao Hu.",Xiao Hu,,#meetup-special-sessions,https://ismir2020.slack.com/archives/C01CFP56G49
60,Industry Meetup B,3,2020-10-15,3:00,Meetup-Special,"Look up these sponsor's channels for links to their respective meet-up zoom meetings #sponsor-spotify, #sponsor-sony, #sponsor-bytedance, #sponsor-adobe, or join our Silver and Bronze sponsors at the zoom announced on Slack.",All ISMIR attendees,https://www.ismir2020.net/sponsors/,#sponsor-,
61,Meetups Misc,3,2020-10-15,3:00,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
62,Music Program 2B,3,2020-10-15,5:00,Music concert,Hear this ISMIR's music performances.,Music chairs,,#music-at-ismir,https://ismir2020.slack.com/archives/C01C4K3S0SU
63,Posters 6B,3,2020-10-15,6:05,Poster session,"Browse the active poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",ISMIR 2020 committee,,#poster-6-,
64,Masterclass: Code Review B,3,2020-10-15,7:30,Masterclass,"Observe a masterclass on good coding practices from an industry standpoint - experienced developers will live-review volunteer submitted repositories, along with a live Q&A.",Industry Chairs,,,
65,Meetups Misc,3,2020-10-15,7:30,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
66,Music Program 3A,4,2020-10-15,12:00,Music concert,Hear this ISMIR's music performances.,Music chairs,,#music-at-ismir,https://ismir2020.slack.com/archives/C01C4K3S0SU
67,LBD 7A,4,2020-10-15,13:05,Poster session,"Browse the active Late Breaking Demos and Industry poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",LBD and Industry Chairs,,#poster-7-,
68,Awards & ISMIR Business Meeting A (Live),4,2020-10-15,14:30,All Meeting,"Annual business meeting of the International Society for Music Information Retrieval, A.",Audrey Laplante,,#ismir-board,https://ismir2020.slack.com/archives/C01BWNNTL7M
69,Masterclass: Interviews A,4,2020-10-15,16:30,Masterclass,"Observe a masterclass where industry interviewers perform mock interviews with volunteers and provide real time feedback, followed by a Q&A with the audience.",Industry Chairs,,,
70,Meetups Misc,4,2020-10-15,16:30,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
71,LBD 8A,4,2020-10-15,17:35,Poster session,"Browse the active Late Breaking Demos and Industry poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",LBD and Industry Chairs,,#poster-8-,
72,Special Session 7: How do we - in MIR research - help artists? Do we?,4,2020-10-15,19:00,Meetup-Special,"In MIR research, we have a wide repertoire of methods to learn about music and about how it is used, etc. Yet, how can MIR be used to help current artists to move forward - in creativity or in making a career? Are we helping artists already? Could we do better? Come discuss with session chair Christine Bauer.",Christine Bauer,,#meetup-special-sessions,https://ismir2020.slack.com/archives/C01CFP56G49
73,WiMIR meetup 8: Rebecca Fiebrink,4,2020-10-15,19:00,WiMIR Meetup,"Each WiMIR Meet-up Session will be an informal Q&A-type drop-in event akin to an “office hour”. In these sessions, participants will have the opportunity to talk with a notable woman in the field.",WiMIR,https://ismir.github.io/ISMIR2020/WiMIR/,#wimir-at-ismir,https://ismir2020.slack.com/archives/C01BLUK6YBE
74,Meetups Misc,4,2020-10-15,19:00,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
75,Music Program 3B,4,2020-10-16,0:30,Music concert,Hear this ISMIR's music performances.,Music chairs,,#music-at-ismir,https://ismir2020.slack.com/archives/C01C4K3S0SU
76,LBD 7B,4,2020-10-16,1:35,Poster session,"Browse the active Late Breaking Demos and Industry poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",LBD and Industry Chairs,,#poster-7-,
77,Awards & ISMIR Business Meeting B (R),4,2020-10-16,3:00,All Meeting,"Annual business meeting of the International Society for Music Information Retrieval, B.",Meinard Müller,,#ismir-board,https://ismir2020.slack.com/archives/C01BWNNTL7M
78,Meetups Misc,4,2020-10-16,5:00,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
79,Masterclass: Interviews B,4,2020-10-16,5:00,Masterclass,"Observe a masterclass where industry interviewers perform mock interviews with volunteers and provide real time feedback, followed by a Q&A with the audience.",Industry Chairs,,,
80,LBD 8B,4,2020-10-16,6:05,Poster session,"Browse the active Late Breaking Demos and Industry poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",LBD and Industry Chairs,,#poster-8-,
81,Special Session 8: Music emotion recognition: Moving on,4,2020-10-16,7:30,Meetup-Special,"Research on automatic recognition of the intended or perceived emotion/mood of a music piece has received attention for some time. But, are we getting closer to ""solve"" the problem? Are we taking the ""right"" approach to address this task? What are the main breakthroughs over the recent years, and what are the major to-do for the years to come? How can we work together to make real progress? Come discuss with session chair Yi-Hsuan Yang.",Yi-Hsuan Yang,,#meetup-special-sessions,https://ismir2020.slack.com/archives/C01CFP56G49
82,WiMIR meetup 9: Anja Volk,4,2020-10-16,7:30,WiMIR Meetup,"Each WiMIR Meet-up Session will be an informal Q&A-type drop-in event akin to an “office hour”. In these sessions, participants will have the opportunity to talk with a notable woman in the field.",WiMIR,https://ismir.github.io/ISMIR2020/WiMIR/,#wimir-at-ismir,https://ismir2020.slack.com/archives/C01BLUK6YBE
83,Meetups Misc,4,2020-10-16,7:30,Meetup,"This is open time for participants to meet with others over slack, in DMs or channel calls, and to propose and join spontaneous discussion of research topics in Misc. Meetups. Visit the #meetup-suggestions channel to coordinate meetings and volunteers will held set up a zoom room, or post your availability for chatting in the #open-hours channel.",All ISMIR attendees,,#meetup-suggestions,https://ismir2020.slack.com/archives/C01B81D5TF0
84,NLP4MUSA 1A,4,2020-10-16,12:00,Satellite,,Sergio Oramas,https://sites.google.com/view/nlp4musa,,
85,DLFM,5,2020-10-16,13:00,Satellite,,David Lewis and David Rizo,https://dlfm.web.ox.ac.uk/2020-programme,,
86,HAMR,5,2020-10-16,14:00,Satellite,,Jordan Smith,https://ismir2020.net/hamr/,,
87,NLP4MUSA 2A,5,2020-10-16,16:30,Satellite,,Sergio Oramas,https://sites.google.com/view/nlp4musa,,
88,NLP4MUSA 1B,5,2020-10-17,0:30,Satellite,,Sergio Oramas,https://sites.google.com/view/nlp4musa,,
89,NLP4MUSA 2B,5,2020-10-17,5:00,Satellite,,Sergio Oramas,https://sites.google.com/view/nlp4musa,,
90,Ind 7A,4,2020-10-15,13:05,Poster session,"Browse the active Late Breaking Demos and Industry poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",LBD and Industry Chairs,,#poster-7-,
91,Ind 8A,4,2020-10-15,17:35,Poster session,"Browse the active Late Breaking Demos and Industry poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",LBD and Industry Chairs,,#poster-8-,
92,Ind 7B,4,2020-10-16,1:35,Poster session,"Browse the active Late Breaking Demos and Industry poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",LBD and Industry Chairs,,#poster-7-,
93,Ind 8B,4,2020-10-16,6:05,Poster session,"Browse the active Late Breaking Demos and Industry poster session's channels, joining calls to ask questions and discuss research with presenters, and leave comments in the channel for asynchronous chatting later.",LBD and Industry Chairs,,#poster-8-,
